Measure:mean;Left-Lateral-Ventricle;Left-Inf-Lat-Vent;Left-Cerebellum-White-Matter;Left-Cerebellum-Cortex;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;3rd-Ventricle;4th-Ventricle;Brain-Stem;Left-Hippocampus;Left-Amygdala;CSF;Left-Accumbens-area;Left-VentralDC;Left-vessel;Left-choroid-plexus;Right-Lateral-Ventricle;Right-Inf-Lat-Vent;Right-Cerebellum-White-Matter;Right-Cerebellum-Cortex;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;Right-VentralDC;Right-vessel;Right-choroid-plexus;5th-Ventricle;WM-hypointensities;Left-WM-hypointensities;Right-WM-hypointensities;non-WM-hypointensities;Left-non-WM-hypointensities;Right-non-WM-hypointensities;Optic-Chiasm;CC_Posterior;CC_Mid_Posterior;CC_Central;CC_Mid_Anterior;CC_Anterior
207;35.0095;49.235;88.3157;67.5264;96.078;84.834;90.3809;104.7101;45.6225;35.5303;86.8005;75.3478;75.5566;56.6844;81.6441;98.2943;77.5238;56.9204;31.9228;46.2609;85.3842;67.4584;95.4543;83.685;89.8129;104.0994;74.7664;76.0;82.9953;96.3333;67.1429;52.8541;50.0;75.5234;0.0;0.0;71.5385;0.0;0.0;86.9197;110.062;106.0477;107.1458;107.236;107.3836
208;35.6287;51.6387;89.4832;70.9203;96.8206;87.3402;92.3255;104.028;44.9046;37.2616;88.1328;77.0027;75.2984;55.486;83.8846;97.2198;66.2135;55.3469;36.1675;42.7021;88.1697;69.6208;96.4878;86.2029;91.9499;104.5597;77.492;75.2838;85.4043;95.9621;73.2105;55.1322;55.6875;74.092;0.0;0.0;63.5;0.0;0.0;83.1566;112.1316;107.4951;107.3074;109.1073;109.3008
209;25.7574;40.4736;90.4814;67.5657;96.0192;83.7369;90.89;105.0757;34.6218;24.7215;88.0579;75.2042;73.2751;39.3625;80.0898;99.6894;66.1829;52.503;24.6638;39.3596;88.1713;67.5741;95.5963;84.5279;89.8012;105.1638;74.6705;73.6577;82.3126;97.4941;68.7941;52.5406;0.0;77.8618;0.0;0.0;53.125;0.0;0.0;85.3099;115.3249;108.2056;106.0835;108.5321;109.9893
210;32.1947;50.2571;88.2531;67.7676;93.801;82.2356;87.8753;100.3073;46.143;33.4985;88.4792;75.1134;74.6695;53.3275;81.2915;94.5145;71.4167;55.0462;33.7391;43.8599;86.8157;68.7155;92.2601;81.4667;86.8652;99.9253;75.543;72.089;81.2993;94.8336;68.6;57.3679;0.0;78.653;0.0;0.0;67.0909;0.0;0.0;67.8889;112.7028;105.5563;104.6619;100.9602;106.5354
211;33.0691;43.6596;92.4607;69.354;94.5814;87.2902;91.8872;102.9204;41.7347;30.9002;87.861;75.2958;74.4517;50.7016;84.6201;96.644;72.2;54.5552;36.769;39.3778;89.9898;69.4825;93.6439;86.5653;91.4005;103.562;75.5784;74.3525;86.3207;96.8201;68.4222;58.9792;0.0;77.9567;0.0;0.0;79.0;0.0;0.0;77.85;112.6372;107.2291;104.048;102.1255;110.6792
212;37.928;44.7784;90.6593;71.6357;99.3477;89.1484;94.6249;106.1609;42.7484;36.5695;88.6241;79.2156;79.5276;53.3575;88.0047;99.9416;78.6667;55.7847;37.2417;41.942;87.5987;70.5583;97.6451;87.1824;93.3028;105.1708;77.4768;77.6802;87.2714;98.5853;64.7966;55.5128;0.0;79.4823;0.0;0.0;70.25;0.0;0.0;64.3696;112.6386;105.625;106.3069;100.7912;108.6902
213;35.8809;54.5389;89.67;71.5797;98.4963;87.4352;94.0003;106.4183;44.056;38.6274;87.8935;78.3036;77.9185;54.57;85.2691;100.0602;64.9583;56.3687;35.7424;42.1533;86.9337;70.4819;97.3642;86.1914;91.9081;104.2465;76.584;75.7278;85.6991;97.6396;72.4483;56.3049;64.6;76.4556;0.0;0.0;73.3182;0.0;0.0;75.5614;114.9669;108.3925;105.2391;107.8108;108.9069
214;28.2739;46.9032;88.5252;66.7423;91.4858;80.2002;84.1622;97.1713;37.2262;28.7526;88.1575;72.8262;76.7671;45.7513;74.7492;94.3048;79.7917;54.9615;27.7634;38.7253;87.4958;65.9082;90.2964;80.0821;83.3407;95.1015;70.1188;74.6442;77.0225;94.3644;64.2381;54.508;52.2;76.1577;0.0;0.0;61.0588;0.0;0.0;74.8746;114.5317;102.6237;105.434;107.1013;108.5687
215;39.8108;45.798;89.6191;69.9057;95.804;83.8853;89.5505;101.8169;47.2545;38.96;88.3327;76.0754;73.6729;55.6003;82.7589;97.6189;75.8;57.1923;37.3114;52.5373;90.1534;71.9486;93.4979;83.5993;89.8036;101.7616;77.2648;75.3349;84.6702;97.3853;75.0;54.1427;65.0;73.3044;0.0;0.0;69.2;0.0;0.0;75.7135;112.8815;105.8608;105.2554;108.1358;106.9759
216;38.2088;55.3736;88.8128;70.4949;98.1219;84.6065;91.895;101.4456;47.8378;36.6649;88.525;77.9009;77.5381;59.0301;83.1614;97.3573;75.25;56.9611;37.9641;44.6339;87.1776;69.3772;94.8993;84.9175;90.5914;102.8357;77.0258;76.807;84.2797;96.2847;73.8889;58.3169;62.375;76.5943;0.0;0.0;67.5;0.0;0.0;76.6341;113.5055;103.2643;107.0027;106.9447;107.1718
217;34.793;47.0841;89.1978;69.5647;91.6298;84.0459;91.0634;100.2981;34.7343;37.5081;88.5219;75.7566;75.3133;48.8353;82.5509;94.8551;78.6667;55.0268;34.2963;41.6857;87.3306;69.6989;90.885;85.034;90.2425;100.4414;74.8822;73.4773;85.7556;93.9412;68.8667;58.6956;0.0;76.9186;0.0;0.0;71.8421;0.0;0.0;72.3766;110.4442;104.9659;107.8985;106.6986;111.4627
218;29.341;49.8082;91.708;68.624;85.4684;75.8878;85.965;99.2014;32.6644;31.1953;85.5414;73.1774;78.8118;42.0818;77.0392;91.4638;72.4722;52.5589;26.422;44.3538;86.9939;68.0078;86.5216;76.8229;85.0724;98.9974;73.5996;70.7182;83.5291;91.5493;71.2727;54.0022;0.0;80.4;0.0;0.0;68.2778;0.0;0.0;77.8504;113.4433;103.7626;101.4985;105.474;107.1077
219;41.1805;39.9748;89.5389;66.9073;93.5608;81.7735;86.6861;102.7875;50.8253;33.8327;88.1207;73.4411;74.1675;52.417;78.9278;95.9805;72.1111;59.7186;36.4247;37.2742;88.0731;67.6216;92.6584;80.6075;85.5195;101.4289;73.5942;72.7065;79.7819;94.8809;65.087;58.3937;0.0;78.8363;0.0;0.0;71.0;0.0;0.0;73.1351;114.819;105.9147;104.1752;104.2718;109.1003
220;41.8496;56.6695;90.2052;68.947;96.4363;85.3642;89.1129;101.5544;47.3968;38.0203;88.6143;77.781;76.1624;57.6053;82.0411;96.1338;66.8286;57.3941;42.8882;50.9747;87.9477;68.8748;95.1251;84.345;89.1823;102.5514;76.4875;75.8262;82.3343;95.3004;72.3913;59.9807;0.0;81.998;0.0;0.0;0.0;0.0;0.0;77.3659;113.6499;110.1338;104.847;104.2762;113.7648
221;29.0346;45.2894;89.2862;67.4904;95.1539;83.2487;88.1273;100.8552;37.2756;26.0431;88.6586;73.3582;71.4717;46.0357;80.4459;96.6675;60.4622;54.3514;29.8831;39.4447;89.1797;68.6734;93.1071;83.041;88.232;100.7847;72.711;70.845;81.0675;94.9438;55.5179;54.2737;47.9286;78.1517;0.0;0.0;66.6667;0.0;0.0;77.8641;115.1633;108.3829;110.216;107.9524;109.6673
222;37.0562;48.2058;89.1134;69.6887;93.3329;83.8156;88.7639;100.5211;46.1531;35.3045;87.7503;73.6342;73.7577;57.1667;80.2434;95.799;72.396;57.8078;37.2138;40.3315;88.7249;70.5227;93.4153;83.7014;87.6605;100.2103;74.3487;72.843;80.8691;96.451;70.6667;56.3407;63.275;75.0027;0.0;0.0;67.5;0.0;0.0;82.6548;111.936;105.6847;108.8918;109.6108;107.8694
223;38.9842;52.5591;89.6888;69.5477;94.136;86.1068;91.0792;102.7079;48.5627;40.1364;87.3945;76.8891;75.1575;54.2163;83.9107;96.0956;75.9167;61.0009;41.3401;44.5672;89.5197;71.2185;92.4471;84.1835;89.5378;101.0817;74.5965;72.0227;82.979;93.7731;73.3043;57.9156;53.8182;78.6042;0.0;0.0;72.6;0.0;0.0;72.8199;113.6245;108.0109;102.2515;103.3253;108.1263
224;36.8547;47.7685;90.6943;70.7122;92.3604;83.1796;88.5476;100.8404;44.3282;37.5166;89.6449;74.3099;73.987;52.423;81.585;96.4858;64.6336;57.2456;34.4451;47.0;90.5197;71.2065;91.8061;82.6123;88.3122;100.6621;75.6615;74.3777;82.3958;95.5139;60.4615;55.7172;41.5;76.262;0.0;0.0;67.7143;0.0;0.0;82.4246;112.5791;106.5823;103.9578;107.034;108.2271
225;33.0874;51.705;90.6984;71.3484;97.8354;85.5613;93.0829;103.9714;48.6049;36.3995;88.6655;77.8029;78.4797;60.3575;84.0167;98.1097;76.5;54.0046;34.7031;43.1912;88.4845;71.093;95.749;85.0896;91.8928;102.9258;76.7793;76.5937;85.3635;96.8235;64.5909;54.3501;62.5;78.567;0.0;0.0;67.6667;0.0;0.0;84.7724;109.9978;108.4487;106.8746;107.0373;104.1114
226;38.6919;46.765;94.8186;76.4254;94.5673;84.3447;91.2522;102.6941;53.1626;37.7503;91.2797;77.8271;76.8249;56.3751;84.0545;95.1616;76.3429;57.3287;39.7029;49.9341;91.5393;75.9979;94.8487;83.9489;90.1252;102.7088;78.6338;74.9473;85.3656;93.984;67.6825;55.0689;0.0;75.35;0.0;0.0;79.3333;0.0;0.0;78.2245;111.6942;106.2123;104.033;101.5011;108.7884
227;12.0576;39.1004;83.6621;52.3577;81.6581;70.0948;78.4477;92.9049;27.2283;11.7506;85.4527;59.2537;59.9551;27.9898;67.2055;93.5428;63.9608;46.3971;13.2059;26.8245;85.0318;54.2643;80.819;68.4664;79.3548;92.2966;58.9162;58.5173;69.7269;90.4557;66.0227;48.2437;23.7273;72.6455;0.0;0.0;59.5;0.0;0.0;76.6678;111.7181;103.1558;108.7362;108.2118;107.1194
228;23.5213;31.6627;86.7785;51.9225;82.3862;72.5866;79.5517;98.0027;33.6343;16.8716;85.9431;56.5905;57.2102;38.6911;66.9892;94.8599;71.0385;54.8347;24.3549;20.2305;82.848;50.2507;82.9542;72.2743;79.0073;98.2823;57.0414;55.1644;68.0364;93.1848;76.8571;55.989;0.0;74.0908;0.0;0.0;80.5;0.0;0.0;75.4504;116.615;106.5642;110.9543;107.8815;107.6752
229;23.9788;30.3579;73.5176;43.8759;90.921;74.005;81.3699;100.9655;26.2675;11.1222;88.8679;60.1603;55.8382;25.2259;68.2529;99.6055;73.6866;53.8355;15.3586;26.4701;75.2533;41.2806;86.8172;70.9104;79.0035;98.0312;56.8813;57.6129;68.9987;97.2021;71.7895;49.5292;0.0;75.9514;0.0;0.0;72.1786;0.0;0.0;90.7403;120.1715;108.0112;112.0153;112.0019;113.0145
230;17.7419;38.5026;87.2715;53.7585;88.8578;73.5495;80.587;99.0604;26.969;8.2236;89.1016;61.0358;62.7473;23.7558;70.1753;95.8333;69.9655;54.3325;17.2491;29.5468;87.6738;53.088;87.0972;71.4573;80.0863;100.1043;61.667;63.2984;70.7206;94.241;65.8889;54.1156;0.0;75.2838;0.0;0.0;56.7647;0.0;0.0;65.6954;110.7694;103.9729;104.6381;107.5014;106.344
231;28.0177;36.5913;88.3919;55.463;88.5644;74.1028;82.5665;100.9645;33.2519;14.3544;87.257;62.4125;63.7577;41.4626;70.1461;96.5801;57.0617;55.0946;22.6616;33.0765;85.5125;53.0999;86.4484;71.8915;81.3719;100.0907;60.3778;61.2211;71.3415;93.7561;68.2571;51.3097;0.0;76.2668;0.0;0.0;74.375;0.0;0.0;69.0566;115.8041;104.8132;107.9065;104.7048;112.6305
232;16.6577;33.9551;87.4606;55.3533;86.6709;72.9802;80.0821;97.957;21.8889;13.1509;87.2376;62.591;61.02;29.8657;68.273;94.534;73.8889;47.1243;16.8057;33.892;85.1929;54.8801;86.973;71.8091;79.9009;96.0695;61.7691;62.0961;70.7865;94.1241;65.7;49.5351;0.0;75.7384;0.0;0.0;60.7368;0.0;0.0;63.2353;114.5435;103.6821;107.223;105.8433;111.7058
233;24.4995;27.2743;86.9615;50.9261;84.0031;67.4196;75.1727;97.1117;39.8182;22.1708;85.9255;57.5421;55.9402;37.1617;63.1102;96.1042;68.4571;59.755;25.3307;26.0447;83.9258;47.716;83.5703;67.7339;75.7382;96.6082;58.8072;56.4899;64.7507;93.148;64.7273;59.5968;0.0;79.8125;0.0;0.0;76.9;0.0;0.0;62.0;116.5894;105.7963;107.6136;109.1359;114.3323
234;27.9067;35.8545;86.6206;48.4461;93.7229;72.4416;81.0527;102.6601;43.8976;23.1102;91.4129;61.7038;63.8931;56.8224;63.7334;97.4077;75.898;60.2771;29.6543;31.6557;79.893;45.4673;90.5336;72.1826;80.092;103.5717;59.956;63.4383;66.9068;98.4327;65.2564;58.3291;0.0;79.7653;0.0;0.0;68.2679;0.0;0.0;67.2143;115.0286;105.8326;107.6606;104.1698;109.2612
235;13.4945;39.022;83.9745;52.9392;89.3397;75.3513;83.7506;103.534;26.6782;12.5862;85.6956;65.1791;66.7584;34.9581;70.9201;96.8865;75.9444;49.2675;14.8628;37.6058;82.628;51.3255;88.2917;72.5922;81.7456;101.6322;67.1017;68.0294;71.1839;96.2531;67.561;48.1526;41.5;74.9695;0.0;0.0;67.6667;0.0;0.0;67.2892;112.7556;109.1941;110.8759;110.9819;111.4804
236;15.4192;37.0021;86.8989;53.9657;84.4328;70.868;79.3762;96.527;22.7157;11.6709;88.0761;63.5322;64.5281;22.8043;66.1758;93.2897;70.0556;49.1329;15.7496;37.3896;86.52;53.8666;83.904;70.3634;80.621;96.5738;61.7064;70.0102;68.5635;91.6473;69.2778;48.7493;0.0;73.1742;0.0;0.0;63.6;0.0;0.0;73.5294;112.3066;103.908;107.0955;105.1396;107.2181
237;13.8258;37.3106;87.4986;54.3013;88.2523;72.026;79.7296;97.8623;24.9131;9.4953;85.7949;60.3553;61.6347;27.7009;67.8062;94.7634;78.3529;49.3472;14.9106;34.0116;86.0116;54.1801;86.1595;71.3841;79.8573;98.4121;62.0318;57.6578;70.1237;95.493;69.5797;48.8039;0.0;74.7128;0.0;0.0;56.2222;0.0;0.0;77.5819;116.2782;107.6897;110.1247;109.2767;111.5033
238;17.5067;35.1842;87.1487;51.5826;80.4044;66.6473;74.6411;90.5234;32.0253;14.792;84.9093;57.6176;54.6904;36.5971;63.8477;92.3956;72.3636;51.4154;22.7612;32.8173;84.4698;50.1964;80.5851;66.6078;74.6627;90.0771;59.7397;54.2235;67.1203;91.6214;69.0385;55.2852;0.0;76.3878;0.0;0.0;69.1429;0.0;0.0;77.5578;112.6967;105.2648;107.345;104.4175;109.1685
239;18.2453;30.7263;83.761;47.9016;87.8891;68.7894;77.4539;94.8718;24.4283;12.3084;86.854;55.1808;53.8643;30.2922;64.0545;93.6322;70.6111;49.0242;19.2541;33.1311;84.677;46.5898;85.8874;68.5677;76.1208;93.7898;56.29;54.772;66.4346;92.3038;73.7674;50.3856;17.5;77.4987;0.0;0.0;79.1667;0.0;0.0;72.7347;115.7196;107.2477;108.811;108.4558;109.2874
240;19.9078;29.0685;83.4226;43.5179;81.1154;68.3663;76.2213;89.1472;29.2777;8.5217;85.7004;55.8848;54.6404;28.5895;64.311;95.2708;72.7692;50.26;16.8919;25.314;81.8435;43.7823;80.289;67.1202;75.1761;89.6152;57.7422;54.1206;64.7276;93.0716;67.5161;52.3772;0.0;71.7645;0.0;0.0;69.75;0.0;0.0;80.0328;113.1961;105.7119;106.2751;105.0547;107.1515
241;19.8055;31.893;85.3317;52.6847;83.0797;70.4313;78.3157;96.6273;25.6278;12.7551;87.2752;63.5529;59.8864;28.7044;65.724;97.1521;67.3962;53.0276;18.8391;33.4023;83.6917;51.5947;83.2603;69.571;77.7213;95.797;62.8187;61.49;68.6605;94.8259;67.7917;52.6144;0.0;75.865;0.0;0.0;65.1667;0.0;0.0;70.5573;118.0802;107.6948;106.3804;107.1557;118.3129
242;21.4345;26.9888;92.3694;49.8171;80.551;69.06;75.5339;92.8305;31.1179;13.5889;86.8801;56.8217;55.5724;35.7321;65.3849;94.3899;69.1429;52.7586;20.4234;27.3421;86.6753;47.4481;80.3438;68.5043;76.2329;93.708;57.4511;55.0036;68.2108;92.8264;65.0;55.7505;45.0;75.308;0.0;0.0;73.0;0.0;0.0;84.9286;112.5728;105.0329;107.7618;106.8998;115.5495
243;15.2042;37.5287;84.8243;52.4671;81.9403;68.5311;78.0211;93.5831;22.608;12.3096;87.7194;60.7641;63.1014;31.4611;67.4628;96.9075;79.5;48.3138;11.9817;27.6778;82.8844;51.29;80.6654;66.8166;76.9751;93.9465;59.5347;59.9825;66.2384;94.7072;63.2;49.1791;26.1667;73.4765;0.0;0.0;59.0;0.0;0.0;73.7838;114.0218;106.1216;108.698;112.5314;113.6154
244;20.1799;38.141;85.7388;51.4287;87.8221;72.072;80.4441;99.2202;28.7948;12.5472;88.8754;63.5747;64.0639;37.3001;68.3391;96.0049;74.2973;49.4362;19.4151;34.266;82.7941;49.1288;86.006;70.7966;80.2214;98.725;61.9691;63.9619;70.4458;96.2987;75.0938;51.488;16.3333;78.3637;0.0;0.0;60.4286;0.0;0.0;68.6336;113.1685;106.3292;106.9864;107.8933;109.1957
245;14.4288;39.6351;85.7923;52.535;90.1392;71.0154;80.4522;99.1732;28.8606;13.4591;89.7094;62.2232;63.7684;30.6312;66.9362;98.9795;68.4828;49.5992;16.4671;37.5381;84.5131;52.4638;87.0073;71.0308;79.7383;98.3449;62.2859;62.7676;69.7215;96.8411;69.0533;50.1904;26.0286;74.9061;0.0;0.0;56.5;0.0;0.0;74.8942;116.4537;108.4412;110.9658;112.9183;110.4183
246;21.0717;29.2539;89.662;56.6688;83.0715;69.1247;77.89;94.7939;26.7263;14.1471;87.0415;61.045;59.0188;28.7608;66.4369;93.2735;75.5128;51.1909;18.9863;27.5134;87.4537;56.0807;85.0381;69.7211;77.6605;94.4598;63.3645;58.5929;68.9081;93.0418;67.2;51.3848;0.0;73.4662;0.0;0.0;76.2857;0.0;0.0;88.8785;108.4333;107.1699;109.7961;107.2071;112.3558
247;17.6242;36.8182;89.6914;52.3116;81.7955;70.3245;78.0758;95.5118;22.2526;11.1594;88.0428;61.8724;60.0812;29.0189;66.1653;94.0073;69.9535;50.1173;18.381;28.5672;83.3097;49.7744;81.5744;70.6129;78.0626;92.9093;59.8698;56.5944;67.6991;88.2906;66.3226;49.779;0.0;73.0444;0.0;0.0;73.6;0.0;0.0;75.1484;116.0687;106.0165;109.6321;107.8205;111.2411
248;19.3849;33.8191;88.679;54.685;81.5437;69.2602;76.72;91.6871;27.4333;14.3459;87.8812;60.5164;58.9666;30.2107;64.6841;92.3312;73.025;49.8233;19.3998;32.3357;88.3136;56.001;81.1814;68.1262;76.0628;90.8787;60.3443;59.4391;66.7017;90.5861;66.6897;49.3439;0.0;74.0211;0.0;0.0;69.6136;0.0;0.0;71.3122;110.3542;106.0126;106.69;105.9217;110.0913
249;36.9122;36.6694;84.247;48.0431;85.5443;73.7514;79.4782;98.0383;26.3096;15.1606;89.8984;59.8282;55.6318;41.9792;68.8279;96.9733;69.8281;62.9636;15.0907;29.7577;82.4323;47.2994;84.146;70.9727;79.4221;96.9339;59.0533;56.7809;68.7222;97.7208;70.7037;51.2043;0.0;76.6645;0.0;0.0;84.7895;0.0;0.0;71.4098;113.8852;107.0956;104.522;106.3792;111.6782
250;12.791;33.3459;87.306;53.2009;83.8487;72.2497;78.164;94.8036;17.2895;10.0228;88.1524;62.3778;62.8335;31.7296;68.0306;94.8606;77.5161;45.1864;13.003;28.1595;81.8943;50.3304;83.3604;70.5954;79.807;95.6394;61.5699;58.9478;70.5657;94.3203;72.4;48.0787;0.0;75.2364;0.0;0.0;66.6429;0.0;0.0;75.3388;115.4092;111.6039;112.2527;110.1235;112.492
251;15.5934;26.6329;84.4795;49.6519;85.8502;68.3049;75.3474;95.3148;27.4333;14.26;88.3537;55.9729;58.5083;25.0144;66.318;96.6407;65.0667;51.6408;23.2594;26.8548;84.3731;48.8282;82.2738;69.3557;76.0958;96.9945;55.9686;56.0317;67.4531;95.8898;58.0123;55.0119;0.0;75.8395;0.0;0.0;71.5556;0.0;0.0;67.0;111.0099;105.7254;106.6742;104.9136;109.3061
252;15.3882;32.9441;88.6194;56.765;79.4268;68.6054;76.1524;91.9192;24.0508;14.6657;85.1941;60.6249;56.2959;29.4071;66.2887;92.558;74.3333;49.0881;15.0136;29.5473;86.3959;56.4422;81.6727;69.1353;75.4827;91.4781;59.8247;56.7273;68.3026;90.5575;71.5238;47.8922;0.0;75.6886;0.0;0.0;71.125;0.0;0.0;86.6715;113.4881;105.2754;108.4174;106.8659;113.7367
253;16.8433;34.5098;85.6715;52.1739;86.0723;69.2613;78.3565;94.6995;24.9866;13.4262;90.0285;60.8943;62.3359;28.0249;67.0881;96.7553;62.1556;46.6652;20.4652;24.7451;84.9009;52.5636;86.5025;69.8392;78.7521;95.5992;61.5895;62.3993;69.3841;95.3231;62.6757;49.5505;0.0;74.4229;0.0;0.0;64.0909;0.0;0.0;66.6309;116.3123;110.2009;110.6819;108.4657;115.2609
254;10.7334;32.0264;88.2658;52.4381;89.0721;68.5444;79.6393;99.2799;20.5625;10.5672;92.5417;63.0297;63.0462;33.8983;64.2313;99.4973;71.2791;49.4979;12.5831;27.8915;79.9646;46.2324;87.8468;68.6071;78.0298;99.1386;61.9773;61.5465;67.236;96.8493;76.0;49.09;0.0;73.6698;0.0;0.0;57.2917;0.0;0.0;60.5704;112.1815;104.3373;108.5256;106.6286;112.9945
255;17.0811;34.2295;85.5582;51.7301;80.4877;68.6722;79.1964;95.1797;27.0824;12.5328;88.7227;58.7897;57.7445;24.3333;64.2143;92.9894;68.4862;50.8864;17.0242;33.4878;84.5189;52.0121;80.8495;68.6891;78.3817;94.7611;59.6558;57.4965;66.1449;93.6906;59.7355;51.0631;0.0;74.7209;0.0;0.0;55.2;0.0;0.0;62.8049;112.7386;103.7122;106.6238;107.1682;106.7074
256;24.1287;29.3678;81.7381;39.7969;79.6047;64.5127;71.5012;95.2313;38.5257;18.8883;87.5825;51.5278;51.372;43.4466;57.2682;98.5159;74.1818;57.7997;22.5306;25.1297;81.2692;40.3206;80.974;63.4689;71.3581;92.06;53.0411;49.4896;61.2737;96.5722;64.7059;58.1904;38.0;80.0946;0.0;0.0;73.0;0.0;0.0;75.8293;119.2555;110.453;109.5398;114.5628;120.5186
257;35.391;35.0063;81.7049;46.0363;84.8227;68.4817;73.0275;93.6058;31.2732;22.7877;89.4436;57.2179;60.6779;45.5732;63.9407;93.452;68.0;57.8719;26.0543;36.1179;83.5979;50.0266;86.8496;69.7457;77.2492;97.5887;66.4522;60.5256;69.4073;97.07;68.6667;52.6514;0.0;78.4565;0.0;0.0;80.2105;0.0;0.0;75.3368;125.3848;109.2926;110.1495;113.3424;111.9587
258;14.8532;37.2251;84.369;51.2432;85.1941;68.0224;77.5811;95.3552;22.8973;13.5182;85.6887;57.9147;60.6673;24.5004;64.9177;96.3178;69.8;47.57;14.1305;33.0725;85.7946;53.2991;85.5754;68.4871;77.1656;94.5811;60.2294;62.9806;67.2155;94.6988;64.0222;48.3144;49.0;77.3043;0.0;0.0;64.8571;0.0;0.0;60.8841;116.0127;107.4433;106.5441;106.3498;108.1927
259;21.5838;39.8368;86.8614;55.9313;83.3666;69.4808;76.8799;93.2638;30.8042;14.1996;83.3832;60.9806;58.4015;24.0447;65.0797;94.1607;68.4587;49.6457;11.7561;32.975;83.5947;54.1918;82.4797;68.3409;76.205;93.6274;61.0177;56.597;67.3459;91.4955;61.7126;48.8738;25.0;75.786;0.0;0.0;61.8333;0.0;0.0;62.7818;116.5801;110.0859;109.0971;106.3737;111.3174
260;18.3862;36.7546;87.7531;56.8031;86.3837;70.5359;79.1398;96.0528;24.9104;13.5322;87.6635;65.754;64.2304;30.9054;67.507;93.6781;69.9756;51.6847;20.7679;35.75;87.2368;56.378;88.4605;70.9428;79.2341;97.6559;63.7462;63.5869;70.1775;94.6758;68.25;51.9896;47.0;76.6841;0.0;0.0;73.4333;0.0;0.0;68.012;115.9976;109.5901;108.7464;104.7572;109.3501
261;32.109;25.2806;86.4637;46.1994;87.8798;72.6975;78.7959;98.9051;41.9422;26.9038;90.1928;54.8731;60.0958;58.8345;67.7206;100.2888;70.1481;58.2489;30.1277;23.0261;84.3539;45.6161;87.3768;70.1558;77.0539;97.9959;55.3773;56.4265;66.412;99.8661;70.9474;57.341;0.0;80.7302;0.0;0.0;63.3636;0.0;0.0;64.0791;124.172;111.617;113.8902;107.599;120.0157
262;18.5725;31.9314;91.7586;57.6637;87.3743;73.3753;80.6907;96.8306;23.1958;13.1215;87.2998;62.3754;59.0898;26.5535;68.61;95.3796;68.9;50.242;18.7026;27.2242;89.2981;56.8645;83.989;72.4031;79.8186;95.5309;61.3969;57.4567;68.769;94.1493;65.5;51.3241;16.0;76.3605;0.0;0.0;67.6316;0.0;0.0;66.2788;117.3491;107.4093;109.4794;108.9751;114.1474
263;33.1387;36.1991;87.5592;50.9441;84.7831;70.3303;78.8199;93.6713;47.1297;22.3746;88.0408;60.1111;56.6305;58.5909;65.7912;96.7564;70.3372;61.6425;34.0143;29.6414;84.3793;49.4941;83.8994;70.1167;77.2089;92.1346;60.739;57.8685;66.9688;93.5786;65.5541;60.29;55.0;78.5699;0.0;0.0;72.1905;0.0;0.0;66.2458;113.5383;102.5571;106.1032;105.5274;108.5861
264;17.8186;32.3385;78.9419;46.4864;88.1375;71.7571;79.9449;99.3566;30.6802;10.6519;84.4768;58.8754;55.85;31.6407;66.1318;96.9278;68.3235;50.3562;15.1126;22.9957;74.3623;45.3273;87.2708;69.3385;78.0273;98.3559;57.2614;54.3336;67.4269;94.63;63.4862;51.0653;0.0;76.4185;0.0;0.0;61.0;0.0;0.0;69.9921;117.8327;109.0468;111.2048;109.2659;114.5586
265;13.6986;27.0725;85.0753;51.5124;86.8818;70.1307;77.2938;96.8711;27.3773;12.6245;87.0444;58.1337;60.6194;29.7393;67.2957;95.8496;66.1682;48.5665;13.1281;32.5974;82.2759;50.1632;85.6673;67.2022;76.7425;96.3285;58.8768;58.8389;67.8884;93.9928;64.5185;51.0697;0.0;72.4138;0.0;0.0;59.7273;0.0;0.0;60.1538;110.721;104.3906;108.8195;108.8134;112.2697
266;15.0525;35.5164;87.9913;57.7945;85.1074;70.5446;80.3176;97.4413;24.7465;13.9721;84.6715;62.1476;64.7343;29.0907;68.2076;93.9612;73.2222;49.4807;14.9483;32.9148;85.4119;56.3553;85.8436;71.2245;79.8525;97.217;61.6241;61.391;71.0698;95.1674;66.2462;51.4421;0.0;76.7442;0.0;0.0;63.3947;0.0;0.0;61.5486;113.8271;105.0317;106.5462;104.5422;107.0321
267;16.8492;37.5324;89.8731;58.9458;85.8579;72.0736;80.9494;98.7403;25.3213;16.0848;89.8524;62.9294;65.2353;27.9306;68.8923;94.5095;72.8333;49.6939;17.0214;31.5848;87.3068;57.363;83.9277;70.8638;80.8601;99.131;62.5856;64.1792;69.8799;92.1588;66.3333;50.3361;0.0;76.445;0.0;0.0;63.3256;0.0;0.0;71.5699;112.6288;106.0511;107.6269;107.7375;113.4633
268;17.6502;35.2974;87.9037;48.4353;81.7122;67.7711;77.1749;95.7585;26.9782;14.0296;89.2421;57.2786;54.9356;34.8348;63.2118;96.5743;65.1569;55.367;20.2151;32.4568;84.4913;48.4681;82.2445;68.2801;76.9669;94.3639;57.6161;54.643;65.1752;94.0199;64.1986;56.3199;0.0;77.6791;0.0;0.0;73.7273;0.0;0.0;70.5477;116.1643;105.281;106.972;108.4524;114.8971
