Measure:std;Left-Lateral-Ventricle;Left-Inf-Lat-Vent;Left-Cerebellum-White-Matter;Left-Cerebellum-Cortex;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;3rd-Ventricle;4th-Ventricle;Brain-Stem;Left-Hippocampus;Left-Amygdala;CSF;Left-Accumbens-area;Left-VentralDC;Left-vessel;Left-choroid-plexus;Right-Lateral-Ventricle;Right-Inf-Lat-Vent;Right-Cerebellum-White-Matter;Right-Cerebellum-Cortex;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;Right-VentralDC;Right-vessel;Right-choroid-plexus;5th-Ventricle;WM-hypointensities;Left-WM-hypointensities;Right-WM-hypointensities;non-WM-hypointensities;Left-non-WM-hypointensities;Right-non-WM-hypointensities;Optic-Chiasm;CC_Posterior;CC_Mid_Posterior;CC_Central;CC_Mid_Anterior;CC_Anterior
206;12.9472;16.6824;6.0294;9.2726;8.139;7.5389;5.232;3.5111;15.6004;11.2315;8.6236;7.8372;5.6418;14.5116;4.9814;8.993;8.0974;14.7086;13.0538;14.6425;5.486;8.6364;8.2811;7.8651;5.5971;3.5065;7.2707;5.3273;4.5132;10.1366;11.4649;13.9831;3.5355;12.2222;0.0;0.0;9.9731;0.0;0.0;21.1472;7.4266;14.5243;11.0392;12.1817;8.4496
207;13.2519;12.8501;5.5794;8.8307;7.6927;6.9733;5.6478;3.4369;14.9536;10.5061;8.2526;6.6476;5.1337;14.9714;4.8631;8.3878;5.1732;13.3803;10.8404;13.1014;4.6144;8.3015;7.3996;7.0618;6.0042;3.1495;7.0561;5.6599;4.6265;9.219;10.628;12.4718;0.0;12.3156;0.0;0.0;9.8541;0.0;0.0;18.4941;9.5066;9.7731;9.6283;8.7851;9.9631
208;12.6676;12.1639;5.3094;8.5568;7.2159;6.9687;5.4886;2.8611;14.551;10.1526;8.5094;7.7309;5.397;14.4648;4.4048;8.3576;11.441;12.36;12.2287;13.3984;5.0418;8.5102;7.4099;7.4123;5.5821;2.7149;6.7183;5.0118;5.6255;9.7073;6.1245;12.3232;5.6181;11.2405;0.0;0.0;11.929;0.0;0.0;19.6097;7.0337;11.3694;9.7758;8.4628;9.5406
209;15.3463;16.5473;5.7133;9.2998;8.1173;7.311;6.5842;2.9749;16.3933;11.3958;8.5919;7.4852;6.1681;16.0139;5.5605;8.7934;17.7146;15.4666;15.5771;16.3258;5.5906;9.2039;8.1549;7.8643;6.2237;3.0539;7.2087;6.1894;6.2022;9.9004;9.4413;14.4165;0.0;12.5677;0.0;0.0;12.6201;0.0;0.0;20.7584;7.1696;13.1522;10.6125;9.3654;9.3113
210;10.7681;9.6771;5.7458;7.9338;8.0645;7.0741;5.0367;4.0944;15.0003;10.8744;8.4354;6.9666;5.5439;15.1292;5.3045;10.0644;7.4887;13.9947;11.8593;12.2999;5.6779;7.7161;8.0735;7.7449;5.4534;4.1774;6.7577;5.5044;5.5351;10.3017;8.4825;12.6751;0.0;12.4069;0.0;0.0;11.9788;0.0;0.0;15.564;8.0521;14.5976;12.1015;13.669;12.1631
211;13.3477;14.8126;5.8174;9.254;7.5109;6.6118;5.0297;2.5832;15.6468;11.007;8.4441;7.0836;6.6881;14.9376;4.8429;8.6592;9.8154;13.902;13.9639;13.4778;5.3575;8.5083;7.6882;6.8244;4.9331;3.0976;6.9306;5.9478;5.2601;8.8244;8.6694;13.066;0.0;12.91;0.0;0.0;20.3552;0.0;0.0;14.9074;7.5232;10.3931;11.2301;12.6315;11.1377
212;11.6316;14.3399;5.0704;8.5637;6.8023;6.4462;5.0903;3.433;12.2882;9.9752;8.6777;7.1887;4.8857;13.454;4.7261;8.1717;2.0817;12.8465;11.924;12.292;4.6698;8.1676;7.1115;7.3749;5.749;3.3867;7.2531;5.9404;5.5083;8.5585;11.4165;11.581;0.0;10.884;0.0;0.0;15.9854;0.0;0.0;18.8318;7.769;11.7887;8.7955;12.7129;11.3349
213;10.9697;12.8765;5.3713;8.5302;7.1772;6.7348;5.4529;3.0347;13.1469;10.416;8.4986;7.3695;4.9705;14.4017;4.6599;8.4461;10.7663;12.507;11.0226;12.7232;5.1894;8.1189;7.4587;7.4259;5.6777;3.0316;7.177;5.4119;5.0817;9.5927;3.2137;12.4758;13.3766;10.7033;0.0;0.0;13.2894;0.0;0.0;16.5497;7.6771;12.5779;10.7677;9.8922;10.1593
214;13.1621;14.6502;6.0177;8.9891;7.7931;8.0537;5.4938;4.3937;15.0428;11.9687;9.3653;8.3114;6.7859;13.7818;6.3653;9.4757;10.3545;14.3612;13.4801;13.442;5.9745;8.4223;7.9559;8.6043;6.4197;5.1515;7.824;5.3676;7.2605;10.2053;8.6667;12.7895;4.8166;15.9972;0.0;0.0;11.8873;0.0;0.0;20.7421;8.8781;13.082;9.836;9.6023;9.3428
215;13.8475;14.8265;5.4609;8.7782;7.6848;7.0206;4.9004;3.2852;13.9519;10.8548;8.8189;7.1041;5.5664;12.4591;5.4121;8.9164;2.6832;11.1664;12.8254;8.6992;5.3841;8.1752;7.4553;7.5718;4.8861;3.0626;6.992;5.7678;4.8823;9.2772;2.4495;12.4493;0.0;11.4548;0.0;0.0;17.3648;0.0;0.0;21.1549;9.2971;12.5286;11.0287;9.7991;13.7449
216;11.7215;13.7553;5.6267;7.8654;7.0113;6.7446;5.082;4.4687;14.3755;10.4925;9.0485;6.8061;4.9685;14.2298;4.1926;9.2066;6.8374;13.3657;12.3808;13.563;5.2562;7.8732;7.3175;6.7489;5.2167;3.3386;6.3522;4.5979;4.4812;9.5859;5.593;12.3641;8.6246;13.1342;0.0;0.0;15.6045;0.0;0.0;20.7938;7.7808;14.4208;9.0867;8.3375;12.2035
217;13.9271;15.8583;5.6208;7.9908;7.7861;7.6829;5.3779;3.2194;12.1003;11.6681;9.1321;7.4539;5.6702;12.4122;4.7086;9.303;1.8619;13.237;13.5629;13.9819;5.6284;7.5447;8.1403;7.6353;5.4993;2.9613;7.1431;6.7246;5.4544;9.8992;7.4882;11.8491;0.0;13.192;0.0;0.0;20.6512;0.0;0.0;19.5204;8.8385;13.0897;12.091;11.6412;10.9572
218;14.302;8.9624;7.3653;9.2498;8.4533;9.7532;5.8507;4.5726;15.2265;12.7338;12.2069;8.7807;8.0634;14.1389;8.7963;11.4682;4.9885;13.9359;14.4344;12.3421;7.0397;8.7823;8.3171;9.8085;6.1384;4.5257;8.8679;9.0437;8.569;11.1698;4.326;13.5885;0.0;14.1923;0.0;0.0;18.0906;0.0;0.0;20.1086;14.4423;13.6173;10.5528;15.2169;12.7
219;15.2968;14.6311;5.604;8.1032;7.7599;6.817;5.5351;3.1156;14.0735;11.407;8.3968;7.4949;5.4547;12.8274;6.4923;9.0129;12.0331;11.621;14.8172;15.2033;5.1524;7.5796;7.9308;7.3872;5.5843;3.177;6.9573;5.102;6.4084;9.6517;14.2888;12.1032;0.0;11.1346;0.0;0.0;21.5561;0.0;0.0;16.1176;7.5557;12.7926;12.4455;13.0583;12.2931
220;13.1008;10.8542;5.7692;8.0107;7.3206;5.9803;4.6178;4.0716;14.9207;10.8133;8.2784;6.7317;4.8054;13.7189;4.7007;9.1969;11.2681;13.3519;13.832;11.2489;5.3651;7.8595;7.1121;6.2184;5.2759;3.1053;6.6354;5.2032;4.7105;9.7997;3.8464;12.3927;0.0;9.2735;0.0;0.0;0.0;0.0;0.0;19.3484;8.544;10.8049;12.8908;13.5897;7.7445
221;12.616;16.8283;5.8464;8.0826;7.6569;7.0636;5.4231;3.8531;15.784;9.9603;8.3485;7.2373;5.0378;14.7812;5.302;9.2054;16.5845;14.0906;12.8059;15.0409;5.1759;7.7294;7.7396;7.5823;5.4212;3.4117;7.2363;5.2407;5.2447;9.5958;15.5365;12.8701;9.3682;11.1201;0.0;0.0;7.6436;0.0;0.0;16.0327;7.5464;10.8851;8.7901;9.6396;10.4702
222;12.8887;15.3307;5.1711;8.0759;7.14;6.5428;4.941;3.3359;14.1398;11.0525;8.2823;7.1347;5.7186;13.574;4.5861;8.4036;10.9426;12.8262;13.2356;12.9059;5.1197;7.8573;7.2004;6.8649;4.9298;3.5074;7.3523;5.8245;5.3366;9.0086;7.783;11.7293;8.4762;11.4962;0.0;0.0;10.4608;0.0;0.0;19.8013;8.7839;11.9803;8.4164;7.5873;8.7391
223;14.2762;11.6108;5.9586;8.1054;7.2551;6.7106;5.1041;3.1241;13.0339;10.6532;8.4486;6.4779;5.43;11.4765;4.2432;9.198;4.4611;12.7599;14.1032;11.9343;5.0445;7.8577;7.2158;7.3088;5.2588;2.7462;6.8035;5.6386;4.8842;9.1574;5.8732;12.0309;8.0971;12.0126;0.0;0.0;12.6875;0.0;0.0;12.7041;8.4713;9.7222;11.085;11.9596;9.651
224;13.5221;12.6788;5.3651;8.2344;7.5379;6.7813;5.1959;3.2859;14.8102;11.4059;8.1885;7.2646;5.36;14.4232;3.7189;9.1879;15.5406;13.1477;12.1147;12.4588;5.3336;8.1059;7.6918;7.0374;5.543;3.3667;6.8989;5.3683;4.9175;9.4633;16.5599;12.8294;0.7071;11.9071;0.0;0.0;14.3067;0.0;0.0;19.7734;7.9972;10.334;10.5841;8.2436;9.4858
225;10.5584;15.0095;5.1067;8.4944;7.2538;8.1056;5.0697;2.7155;12.3314;10.9841;8.4308;7.5847;5.4439;12.13;6.8301;8.5632;4.0069;13.8211;11.0892;13.917;4.9038;8.0357;6.9747;8.0738;5.0768;2.5625;6.8278;5.8291;5.1349;9.1545;9.9936;12.4244;6.364;11.455;0.0;0.0;11.3623;0.0;0.0;18.274;8.5191;9.1518;8.8477;8.2249;15.9116
226;12.4115;13.0111;5.2262;8.8936;7.3543;7.509;5.2796;3.0933;12.7832;11.6193;8.1934;6.8319;5.0081;11.7689;3.9902;8.8861;7.7495;11.945;13.0087;10.5365;4.746;8.3211;7.1409;8.0496;5.1816;3.2354;6.1804;5.6825;4.8829;9.0359;9.6917;11.4396;0.0;13.321;0.0;0.0;13.545;0.0;0.0;19.626;7.1166;10.1655;8.6865;10.7919;7.5265
227;13.4622;12.3955;9.765;9.3141;9.9707;9.5745;6.4239;4.8634;15.4245;12.7357;10.9394;8.8536;7.319;13.6655;6.7653;11.663;14.7999;15.812;13.5088;13.32;9.2399;9.2335;10.2558;10.6794;6.5442;4.751;8.4612;7.5928;6.9517;13.4524;8.1825;16.2912;12.2482;15.4983;0.0;0.0;12.4676;0.0;0.0;23.9897;11.431;13.6973;14.8047;15.1223;13.98
228;19.4052;16.7873;7.7473;10.8272;9.5723;7.3198;7.1857;4.736;16.977;16.9548;10.512;8.9169;7.3093;16.1789;5.8555;12.519;7.5823;14.8278;18.398;17.4387;7.7019;10.4742;9.6577;7.6093;7.3484;5.046;8.5707;7.7469;7.9883;11.8102;4.2595;14.0868;0.0;12.6455;0.0;0.0;8.7121;0.0;0.0;21.7755;9.9982;12.7318;11.9528;12.3212;18.3575
229;17.4358;20.8379;12.3839;13.3298;10.6731;8.2319;7.4988;5.5799;19.3031;15.7463;11.5249;14.0657;7.1503;17.533;6.663;18.3562;12.2625;13.8475;14.7615;16.6235;9.2921;12.9737;11.6467;9.9369;7.0894;5.023;9.8639;8.0284;7.9307;13.435;4.5531;15.1953;0.0;14.2019;0.0;0.0;11.5568;0.0;0.0;40.7118;11.967;16.4209;11.4529;13.5401;17.3324
230;15.2827;14.4196;8.0286;10.046;10.7465;8.48;6.334;4.117;17.4109;11.4124;10.5542;8.2719;8.0345;17.4397;6.0378;10.9313;6.7373;16.8068;14.9151;16.0044;8.1199;10.266;11.2109;9.1927;6.5542;3.9156;9.253;7.4794;6.7631;11.7955;7.7299;16.0408;0.0;16.1336;0.0;0.0;15.4618;0.0;0.0;13.1808;8.8953;11.3543;8.4084;8.6628;10.1894
231;16.7098;15.3997;8.3057;10.1165;10.6336;9.5288;6.797;4.9168;19.0356;14.3884;11.1712;9.0212;8.2319;15.348;6.4787;12.0073;16.2291;15.2054;15.0658;15.3846;8.8793;9.9607;10.3876;10.0999;6.756;4.3465;9.1425;7.8672;7.2575;12.0914;4.4941;13.99;0.0;12.598;0.0;0.0;12.7944;0.0;0.0;16.3077;12.1714;12.9315;12.8596;11.5716;13.8055
232;13.3261;14.5733;7.7893;10.3187;10.5476;9.5934;7.0134;5.7358;16.1267;13.2179;9.9592;9.4731;7.6217;15.115;7.8207;11.7491;5.5613;15.1185;13.5139;13.821;7.8176;10.3005;9.9641;10.2227;6.9415;5.5919;9.326;7.0678;8.0187;12.1427;5.8768;15.3597;0.0;14.5248;0.0;0.0;15.7389;0.0;0.0;11.8382;11.1547;12.5782;11.9277;19.294;14.7866
233;19.0215;15.7663;8.5019;10.8156;9.6846;8.7776;7.725;5.713;16.7846;18.7011;10.4823;9.4444;7.8715;18.3467;6.4445;11.1807;10.6058;13.8015;18.5811;17.3303;9.5316;10.547;10.114;9.0011;7.8742;5.8081;9.0596;7.537;8.5263;11.6925;6.7096;13.3602;0.0;11.5763;0.0;0.0;6.4196;0.0;0.0;10.3436;8.1083;12.0666;14.7395;14.911;14.0721
234;19.9408;12.5375;9.0066;12.1869;10.6166;9.4234;9.439;6.1332;18.2052;20.3802;10.5434;10.3309;8.6986;18.1687;8.4877;12.7331;7.9011;14.0323;19.8107;11.6992;9.429;11.4965;10.0765;9.6351;9.2141;5.3846;10.2035;8.8232;9.3855;12.2847;9.6476;13.3646;0.0;11.4725;0.0;0.0;11.6923;0.0;0.0;15.4369;10.7308;15.0173;9.666;16.4672;18.5701
235;12.6686;13.4034;8.597;10.3438;11.1937;9.6586;7.2017;5.7502;18.1267;11.9169;11.2379;9.7558;6.7978;19.6067;7.6159;12.4826;5.7135;16.3233;13.6199;12.1169;8.4097;10.1762;11.719;10.452;6.8637;5.3196;9.6251;7.4608;7.9238;12.9093;15.3314;15.3233;2.1213;15.4868;0.0;0.0;14.3266;0.0;0.0;17.9457;9.815;9.2247;7.7767;9.3486;12.0867
236;13.3384;14.2524;7.6338;10.2626;10.2414;9.3881;7.1131;4.6983;18.0446;12.0518;10.2889;8.9244;8.1942;17.552;6.6112;11.2676;6.454;15.5597;13.1323;12.5491;7.9407;10.2778;10.6168;10.2623;8.0169;3.8854;9.1342;7.5621;7.414;11.3754;4.2121;14.7271;0.0;15.0222;0.0;0.0;19.8338;0.0;0.0;22.7163;9.637;11.2185;8.6878;8.8051;10.1019
237;14.9454;17.459;8.4882;10.1488;10.586;9.677;6.9308;5.0285;17.6948;12.7792;10.5519;8.8331;6.8544;14.9668;6.9297;15.6172;7.7535;16.8324;14.8766;13.1261;8.0531;10.009;10.9966;10.2991;7.4398;4.4018;10.1686;7.9676;8.4026;13.736;10.6721;16.5668;0.0;14.689;0.0;0.0;13.0724;0.0;0.0;22.9782;10.225;11.9582;9.6061;10.4622;15.7276
238;15.209;13.387;8.6616;10.178;10.5843;9.7757;6.7735;6.4875;14.3024;13.8639;11.2243;8.6501;9.1386;14.3404;7.0417;13.4432;6.6887;15.862;18.4509;11.729;8.6251;9.7396;10.4975;8.7681;7.3426;6.0965;9.3604;8.2322;8.596;13.9205;8.0224;13.5683;0.0;14.5639;0.0;0.0;4.0591;0.0;0.0;20.2516;8.3498;10.9124;8.7381;14.0084;11.5371
239;16.5929;16.4438;9.3084;10.8426;10.6811;9.7645;7.1191;5.5878;17.9798;14.6359;10.4783;9.859;7.2718;17.0499;6.212;11.4307;10.487;16.3489;16.3594;9.9702;9.3836;11.3843;11.007;10.3175;7.2696;5.8533;9.7318;7.7223;7.5055;12.6856;9.0865;15.6591;0.7071;14.9037;0.0;0.0;16.7486;0.0;0.0;23.2516;11.1555;8.4527;8.5435;12.4885;12.8016
240;18.323;10.0266;10.2487;10.994;10.6418;9.01;6.7061;6.3357;14.4653;12.3872;11.7078;9.0857;8.3583;16.4798;6.3503;12.9125;11.0154;16.4871;14.9318;15.1768;9.9894;10.4544;11.1166;9.6302;6.5393;5.2932;11.2195;8.2124;7.8276;15.5802;8.6366;14.3261;0.0;13.9782;0.0;0.0;11.5851;0.0;0.0;27.7863;9.9374;10.809;8.7412;11.2265;10.8299
241;15.7002;15.2027;8.1947;10.3332;10.2861;9.3957;7.6076;5.1571;16.2524;12.857;12.4006;9.1984;9.0991;14.7332;8.1326;14.9287;9.3033;15.9169;15.3905;13.4515;7.5378;10.3965;10.3694;10.1638;7.2018;4.8424;9.1984;9.2975;8.6635;14.2044;7.3661;16.157;0.0;15.2522;0.0;0.0;12.8334;0.0;0.0;21.261;9.1794;13.8547;15.582;20.597;21.4256
242;18.1424;19.5189;9.9578;11.1197;10.2234;8.6397;6.3012;5.7674;18.8484;16.4447;13.0708;10.2435;6.8837;17.3284;6.8653;15.2808;7.4956;15.1952;17.4828;13.8559;9.6587;10.6042;9.9628;8.8124;6.3637;5.0947;9.6795;7.8651;7.7474;15.6198;6.1033;13.3808;0.0;12.7732;0.0;0.0;11.5109;0.0;0.0;42.662;9.7977;15.13;16.5113;19.0718;16.3032
243;14.721;14.7112;8.6467;10.447;10.7604;9.7358;7.201;6.0596;16.3095;13.1979;13.7287;8.7398;7.5982;13.5087;11.1834;12.507;3.0;16.2391;13.8198;15.8597;8.0467;10.6382;10.7842;10.0003;7.2603;5.6226;8.653;7.538;8.2501;14.0083;5.933;15.4642;8.8609;17.0049;0.0;0.0;17.8361;0.0;0.0;25.6519;9.0174;13.3953;14.9161;14.3247;14.9562
244;15.7056;14.3544;9.3856;10.8155;10.4027;9.0073;6.8451;4.4777;17.4075;12.7201;10.9971;9.8283;7.505;15.4157;7.7654;14.0179;6.4544;16.5723;15.1841;11.5362;10.2177;10.632;10.6072;10.1852;6.7827;4.2071;9.0886;7.6395;7.5288;14.6533;7.7183;16.5931;10.0929;16.3738;0.0;0.0;13.5446;0.0;0.0;19.6518;8.478;10.0676;8.9152;7.9199;12.0722
245;13.5577;15.2147;8.5238;10.5503;10.2254;9.3205;6.8242;5.3727;17.2315;13.3732;10.9695;9.4136;7.5956;15.9135;6.2251;13.3157;11.2992;16.1818;13.9482;10.4211;8.0001;10.4669;10.0625;10.2389;6.6601;4.7239;9.091;7.5834;7.5666;14.7207;9.4267;15.5174;12.578;15.4189;0.0;0.0;13.551;0.0;0.0;24.8882;8.8972;11.2595;13.1927;14.8943;14.7924
246;16.0132;17.6675;7.5965;9.9901;10.368;9.0301;6.9904;4.9696;15.1852;13.3634;9.4718;9.2061;8.4786;14.7009;5.893;12.6472;8.4007;16.2499;15.9036;17.8024;6.9577;9.6814;10.6582;9.6057;6.9987;4.397;10.3099;8.0959;7.6794;13.7262;6.8634;15.7026;0.0;14.9953;0.0;0.0;22.0357;0.0;0.0;26.5563;11.9359;13.0195;12.0218;12.2319;11.6365
247;14.7127;15.9637;8.507;11.1704;9.9506;8.9272;7.4176;5.6316;16.4176;12.6138;11.3936;9.5559;7.9292;13.9049;7.1023;12.9832;8.2749;15.4126;15.2021;14.738;8.0415;10.747;10.3959;9.0501;7.3793;5.2603;8.9963;6.9035;7.6442;13.9183;5.9693;14.8571;0.0;15.1464;0.0;0.0;10.6442;0.0;0.0;21.375;12.2646;14.5728;11.0856;13.4292;15.0915
248;16.5589;17.7416;8.9518;10.678;10.0689;8.3251;6.986;5.2463;15.7425;12.748;12.418;9.2115;7.2593;14.5186;6.6115;12.8392;7.5396;15.7068;16.1516;14.6393;8.5697;10.6761;9.9868;8.6801;7.1523;5.5267;9.3219;7.1872;8.8528;13.31;7.5282;15.7111;0.0;14.2304;0.0;0.0;10.5218;0.0;0.0;19.0983;12.4673;16.9484;15.7424;22.1886;18.819
249;22.3971;16.4817;9.3979;10.9774;10.0589;7.2551;7.0532;5.5831;22.0919;17.1357;12.0295;9.2627;8.7114;17.9858;5.7187;13.8504;8.1388;13.3512;17.5376;16.9687;9.0093;11.2367;10.4962;8.9435;6.7377;5.3916;10.5242;7.6021;7.2492;14.5344;7.5387;16.9329;0.0;13.8731;0.0;0.0;13.0876;0.0;0.0;26.292;9.7688;11.0769;16.7367;15.2769;21.9729
250;11.5647;17.7701;8.4988;10.767;10.1516;9.5785;6.8103;6.0025;16.7625;12.1315;11.2082;9.133;6.9012;14.1318;7.322;13.18;6.3027;15.9739;11.702;17.4216;7.784;10.3277;10.5412;9.9846;7.0361;5.8004;9.9936;7.8462;7.2388;13.7528;6.4514;15.3779;0.0;17.001;0.0;0.0;18.5339;0.0;0.0;26.6352;11.6411;11.3953;13.9894;17.9508;19.3358
251;15.8714;17.2963;9.8711;11.1084;10.5084;9.1769;6.6827;5.7985;17.9235;14.7652;10.8331;11.0015;7.4301;17.7333;6.2739;12.2317;13.4442;17.3084;17.8464;13.9016;8.7796;11.0936;10.7603;8.7366;6.8896;5.6078;9.0087;8.4981;7.8964;12.4026;11.1898;15.5354;0.0;15.9126;0.0;0.0;11.6094;0.0;0.0;19.7907;8.2179;9.7129;9.5793;11.2254;8.236
252;15.5256;13.5281;6.7096;9.217;9.8018;9.55;6.4478;5.0064;16.9246;14.1008;11.265;10.1323;7.2194;13.1975;6.9902;14.2087;9.0392;16.4472;14.692;12.4815;6.8007;9.11;10.9239;9.6982;6.8179;4.9744;11.0124;8.4606;8.2136;13.4376;7.5075;15.7522;0.0;14.2051;0.0;0.0;11.7161;0.0;0.0;40.9979;9.809;14.2851;8.2587;8.4344;20.3141
253;14.5599;15.2697;7.7761;10.4255;10.2309;8.9023;6.695;5.3741;17.3019;12.8008;10.9732;9.6067;7.6434;14.8727;6.4677;14.7829;11.0208;15.5655;15.5848;16.2124;8.3372;10.4764;10.7531;9.3455;6.8611;5.2677;9.8909;7.8145;7.5458;12.9184;11.9328;15.1579;0.0;15.0625;0.0;0.0;15.9151;0.0;0.0;20.5687;11.6754;9.5838;9.7539;13.1046;17.2425
254;11.4932;17.109;9.2662;11.5295;10.3611;10.3962;7.5206;7.7296;16.9813;12.5214;12.4457;9.8446;7.0292;16.5507;7.3452;15.7878;10.1403;18.2453;12.3659;16.9371;11.562;10.6551;10.9704;10.8347;8.1157;5.6177;10.3784;8.4836;8.3634;14.271;4.5826;15.8287;0.0;18.8326;0.0;0.0;18.9175;0.0;0.0;11.6456;11.8793;10.3112;10.6065;12.2991;15.1357
255;15.6015;14.8167;8.9924;10.2331;10.2954;9.2424;7.3168;5.0683;15.5911;13.248;10.452;8.8963;7.7108;16.4123;6.5987;12.2251;5.5937;17.5775;15.3471;16.9958;8.2343;10.098;10.3482;9.9198;7.5809;5.2673;8.5862;7.8625;8.4073;13.6112;18.4792;15.799;0.0;14.0508;0.0;0.0;12.1106;0.0;0.0;8.1418;8.8834;12.0917;10.9579;8.2266;12.3347
256;20.1899;16.6539;11.138;12.7851;10.8276;8.677;8.3036;7.3711;16.7676;19.3125;13.0751;10.6421;9.3225;18.0765;7.5558;16.4295;7.7798;16.5969;21.0346;15.8458;10.666;12.4154;12.2969;8.4881;8.2377;7.1237;10.2268;9.7135;9.2975;16.0119;6.1916;14.4342;0.0;13.4075;0.0;0.0;14.9454;0.0;0.0;51.868;10.8393;15.6419;17.405;18.3273;22.3933
257;18.7133;12.868;10.5843;11.731;9.947;8.1133;7.9842;6.1131;19.4382;16.9286;14.7656;11.4972;8.988;15.5695;6.5734;14.4671;8.067;12.4139;18.6646;10.6346;9.7783;11.3706;11.3845;10.4917;8.3044;7.8187;10.841;9.3652;9.0542;16.7348;6.6533;14.8136;0.0;13.6537;0.0;0.0;9.5078;0.0;0.0;19.3268;12.8797;18.1893;18.7623;18.8629;16.6866
258;14.1462;9.9666;8.8818;10.4467;10.4878;9.7877;7.6148;5.2797;15.8897;14.063;12.2748;9.5613;7.66;14.8329;7.2127;12.8444;9.2884;16.63;14.6317;13.1072;8.1032;10.2832;10.5926;10.4669;7.0682;5.1531;9.3962;7.8059;7.5327;13.3685;4.1423;16.2293;2.8284;15.2484;0.0;0.0;14.1472;0.0;0.0;8.6329;9.3008;12.6193;11.0476;12.4056;14.8282
259;15.3121;13.1422;7.174;9.4336;10.4002;9.291;7.0343;6.0707;16.0746;13.3691;10.7157;9.8974;7.5885;16.0247;6.8183;12.4181;7.884;15.4138;13.419;13.0784;7.3238;9.152;10.8704;10.2238;6.7258;5.7914;9.4715;7.3348;7.1605;12.4475;2.43;15.465;10.5071;15.1192;0.0;0.0;17.7586;0.0;0.0;19.8847;9.8069;10.4704;15.2286;19.6819;18.277
260;14.2768;15.9437;7.6041;9.9001;10.2096;9.6108;6.7402;4.9635;16.4076;12.3451;9.6487;10.3024;7.1647;15.695;6.5888;11.193;9.1747;15.8093;14.6463;14.518;7.2837;9.982;10.3366;9.1815;6.4747;4.7286;9.7115;7.9929;8.0978;12.1211;7.932;14.502;2.8284;15.5041;0.0;0.0;11.1624;0.0;0.0;20.1215;8.7102;10.0963;16.7427;22.0073;22.2783
261;21.9112;17.1869;10.2547;11.7398;10.4141;7.701;7.5582;6.8827;21.992;22.4104;11.6068;10.1458;8.6592;15.1906;7.8623;15.9113;9.0437;13.6516;19.951;16.5902;9.6966;11.8118;9.6861;8.005;7.5223;6.0142;9.8149;7.699;8.3256;15.4642;8.1901;12.2975;0.0;10.6117;0.0;0.0;11.4392;0.0;0.0;17.7915;12.7277;14.4446;10.9231;17.3866;18.1069
262;15.4975;16.627;8.1695;10.5323;10.6711;8.5118;6.8147;5.4569;16.6953;12.9343;10.7633;8.7563;7.4188;15.6108;7.2133;12.1218;5.4161;16.8131;15.265;15.9004;8.0299;9.8618;10.3593;8.9213;6.7647;4.9175;8.6458;7.2853;6.9265;12.7297;1.9253;16.1079;0.0;12.2717;0.0;0.0;10.146;0.0;0.0;15.5464;8.6588;14.1357;12.1395;13.1992;12.3722
263;19.9327;15.2262;7.8754;10.6881;10.1063;8.2495;7.0965;5.2685;16.2415;20.1685;10.8646;9.741;7.6241;12.154;5.6768;13.0969;9.7517;13.9532;20.8047;17.0406;8.0915;10.2215;10.1479;7.7033;6.8802;5.0854;8.6429;8.3327;7.4572;12.2851;8.9491;12.4099;5.5498;12.4089;0.0;0.0;12.4001;0.0;0.0;23.2356;8.4552;11.7542;9.5715;12.3997;15.018
264;15.5834;16.3423;8.5388;11.2985;10.9933;9.6765;7.734;5.6654;15.9436;13.4262;11.1969;9.7803;7.9346;15.0897;6.5062;11.8619;10.901;16.7278;14.8436;16.2684;8.169;10.3241;10.9852;10.3395;7.6432;5.0427;9.3601;7.9451;8.3084;12.8962;11.1974;16.606;0.0;15.1698;0.0;0.0;15.2883;0.0;0.0;20.3113;9.7628;13.0599;7.7765;12.4542;12.5784
265;13.3883;16.2963;8.257;10.6064;10.2527;10.0917;6.5867;5.1814;18.132;13.1711;10.9168;9.9081;7.4008;15.3767;6.8005;10.9642;7.853;15.4514;13.4918;14.1488;8.4331;10.0152;10.6391;10.7213;7.011;4.8274;9.6167;7.2349;8.1634;11.8142;9.7127;15.7452;0.0;16.3215;0.0;0.0;13.7302;0.0;0.0;8.5647;11.8151;10.2395;11.2913;12.2078;11.618
266;13.7866;17.2753;7.3855;9.2766;10.5443;9.8256;6.735;4.1857;17.0349;12.9314;10.0315;9.8762;8.15;15.9752;6.4876;11.8427;9.8827;15.9675;13.5825;15.2349;7.0244;8.9589;10.556;9.9953;6.9573;3.975;9.1193;8.0851;7.4439;11.1702;10.1735;15.8693;0.0;15.8582;0.0;0.0;19.0214;0.0;0.0;9.2069;8.826;11.2659;9.2236;12.6812;12.8066
